Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,27,11,1,FullResched,0.05,63.8888888888889,53,72.5336,0,0,53,138,42,0.0100818,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,27,11,1,HIVE,0.05,51.1111111111111,53,77.5106,0,1,54,138,42,0.9471311,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,27,11,1,BigMECGreedy,0.05,53.3333333333333,15,18.9132,0,1,16,137,43,0.0003982,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,27,11,1,BudgetedLNS,0.05,68.3333333333333,4,5.9062,0,0,4,138,42,0.088155,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,28,11,1,FullResched,0.05,56.6666666666667,56,76.7144,0,0,56,138,42,0.0163973,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,28,11,1,HIVE,0.05,46.1111111111111,50,69.3482,1,0,51,139,41,0.8879625,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,28,11,1,BigMECGreedy,0.05,43.8888888888889,16,25.6156,1,0,17,138,42,0.0003776,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,28,11,1,BudgetedLNS,0.05,67.2222222222222,0,0,0,0,0,138,42,0.0815585,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,29,11,1,FullResched,0.05,57.2222222222222,49,66.6274,0,0,49,138,42,0.0134336,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,29,11,1,HIVE,0.05,42.2222222222222,50,65.3666,0,0,50,139,41,0.8933851,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,29,11,1,BigMECGreedy,0.05,45.5555555555556,19,31.7872,0,0,19,138,42,0.0004983,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,29,11,1,BudgetedLNS,0.05,66.1111111111111,0,0,0,0,0,138,42,0.0661842,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,1,FullResched,0.05,67.7777777777778,47,64.172,0,0,47,138,42,0.0123542,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,1,HIVE,0.05,51.6666666666667,66,92.9729999999999,0,1,67,138,42,1.0046768,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,1,BigMECGreedy,0.05,43.3333333333333,21,32.2518,0,0,21,138,42,0.0004156,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,30,11,1,BudgetedLNS,0.05,67.2222222222222,0,0,0,0,0,138,42,0.0755775,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,1,11,0,FullResched,0.05,50,0,0,0,0,0,153,27,0.0141578,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,1,11,0,HIVE,0.05,46.6666666666667,0,0,0,0,0,155,25,0.9921563,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,1,11,0,BigMECGreedy,0.05,40.5555555555556,0,0,0,0,0,154,26,0.0250639,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,2,2026074102,180,1,11,0,BudgetedLNS,0.05,50,0,0,0,0,0,153,27,0.3038473,1,9,0,0,0
